target_index	sample_id	trigger	category	mapped_path	exact_image_path
0	1	1001	limousine	images_THINGS/object_images/limousine/limousine_03s.jpg	/home/josealanis/Documents/projects/psycontrol/realtime_eeg_recon/data/images_THINGS/object_images/limousine/limousine_03s.jpg
1	2	1002	pea	images_THINGS/object_images/pea/pea_10s.jpg	/home/josealanis/Documents/projects/psycontrol/realtime_eeg_recon/data/images_THINGS/object_images/pea/pea_10s.jpg
2	3	1003	shorts	images_THINGS/object_images/shorts/shorts_14s.jpg	/home/josealanis/Documents/projects/psycontrol/realtime_eeg_recon/data/images_THINGS/object_images/shorts/shorts_14s.jpg
3	4	1004	dalmatian	images_THINGS/object_images/dalmatian/dalmatian_02s.jpg	/home/josealanis/Documents/projects/psycontrol/realtime_eeg_recon/data/images_THINGS/object_images/dalmatian/dalmatian_02s.jpg
4	5	1005	ottoman	images_THINGS/object_images/ottoman/ottoman_05s.jpg	/home/josealanis/Documents/projects/psycontrol/realtime_eeg_recon/data/images_THINGS/object_images/ottoman/ottoman_05s.jpg
5	6	1006	cardinal	images_THINGS/object_images/cardinal/cardinal_02s.jpg	/home/josealanis/Documents/projects/psycontrol/realtime_eeg_recon/data/images_THINGS/object_images/cardinal/cardinal_02s.jpg
6	7	1007	mirror	images_THINGS/object_images/mirror/mirror_08s.jpg	/home/josealanis/Documents/projects/psycontrol/realtime_eeg_recon/data/images_THINGS/object_images/mirror/mirror_08s.jpg
7	8	1008	keyboard	images_THINGS/object_images/keyboard/keyboard_13s.jpg	/home/josealanis/Documents/projects/psycontrol/realtime_eeg_recon/data/images_THINGS/object_images/keyboard/keyboard_13s.jpg
8	9	1009	papaya	images_THINGS/object_images/papaya/papaya_08s.jpg	/home/josealanis/Documents/projects/psycontrol/realtime_eeg_recon/data/images_THINGS/object_images/papaya/papaya_08s.jpg
9	10	1010	pineapple	images_THINGS/object_images/pineapple/pineapple_08s.jpg	/home/josealanis/Documents/projects/psycontrol/realtime_eeg_recon/data/images_THINGS/object_images/pineapple/pineapple_08s.jpg
