split,subject_adapter,candidate_pool,n,candidates,top1,top5,median_rank,mean_rank
train,manifest_lab_subject_id,all_160,915,160,0.01092896144837141,0.03715847060084343,80.0,78.93551635742188
train,manifest_lab_subject_id,split_only,915,128,0.012021858245134354,0.04918032884597778,62.0,61.832786560058594
train,manifest_P04,split_only,151,128,0.0,0.05298013240098953,65.0,64.3112564086914
train,manifest_P05,split_only,156,128,0.012820512987673283,0.044871795922517776,52.0,58.8012809753418
train,manifest_P06,split_only,156,128,0.01923076994717121,0.05128205195069313,65.0,62.25
train,manifest_P07,split_only,156,128,0.025641025975346565,0.06410256773233414,60.0,61.53845977783203
train,manifest_melina,split_only,156,128,0.0,0.03846153989434242,64.0,63.262821197509766
train,manifest_zar,split_only,140,128,0.014285714365541935,0.04285714402794838,62.0,60.80714416503906
val,manifest_lab_subject_id,all_160,256,160,0.0078125,0.04296875,65.0,69.26953125
val,manifest_lab_subject_id,split_only,256,32,0.04296875,0.15234375,15.0,15.7265625
val,manifest_P04,split_only,40,32,0.05000000074505806,0.15000000596046448,15.0,15.824999809265137
val,manifest_P05,split_only,44,32,0.022727273404598236,0.09090909361839294,15.0,15.681818008422852
val,manifest_P06,split_only,44,32,0.0,0.1818181872367859,16.0,16.409090042114258
val,manifest_P07,split_only,44,32,0.04545454680919647,0.13636364042758942,13.0,14.795454978942871
val,manifest_melina,split_only,44,32,0.06818182021379471,0.20454545319080353,15.0,15.545454978942871
val,manifest_zar,split_only,40,32,0.07500000298023224,0.15000000596046448,15.0,16.149999618530273
all,manifest_lab_subject_id,all_160,1171,160,0.010247651487588882,0.038428694009780884,75.0,76.82237243652344
all,manifest_P04,all_160,191,160,0.010471204295754433,0.052356019616127014,80.0,79.88481903076172
all,manifest_P05,all_160,200,160,0.009999999776482582,0.03500000014901161,68.0,73.44499969482422
all,manifest_P06,all_160,200,160,0.014999999664723873,0.029999999329447746,77.0,77.63999938964844
all,manifest_P07,all_160,200,160,0.019999999552965164,0.05999999865889549,71.0,75.72000122070312
all,manifest_melina,all_160,200,160,0.0,0.019999999552965164,75.0,78.13999938964844
all,manifest_zar,all_160,180,160,0.0055555556900799274,0.03333333507180214,77.0,76.17778015136719
all,forced_0,all_160,1171,160,0.009393680840730667,0.040136635303497314,76.0,76.76942443847656
all,forced_1,all_160,1171,160,0.009393680840730667,0.04440648853778839,75.0,76.73954010009766
all,forced_2,all_160,1171,160,0.011101622134447098,0.03586678206920624,75.0,76.90606689453125
all,forced_3,all_160,1171,160,0.009393680840730667,0.03672075271606445,75.0,76.51409149169922
all,forced_4,all_160,1171,160,0.010247651487588882,0.0392826646566391,76.0,76.67890930175781
all,forced_5,all_160,1171,160,0.008539709262549877,0.03672075271606445,74.0,76.54824829101562
all,forced_6,all_160,1171,160,0.009393680840730667,0.03586678206920624,75.0,76.7668685913086
all,forced_7,all_160,1171,160,0.008539709262549877,0.03586678206920624,76.0,76.89069366455078
all,forced_8,all_160,1171,160,0.010247651487588882,0.03672075271606445,76.0,76.77882385253906
all,forced_9,all_160,1171,160,0.010247651487588882,0.04269854724407196,75.0,76.8334732055664
all,forced_10,all_160,1171,160,0.012809564359486103,0.03501281142234802,76.0,77.0333023071289
