subject_folder	mapping_participant	mapping_file	trial_index	block	trial_in_block	trigger	category	mapped_path	exact_image_path	image_found	is_repeat	expected_presentations_for_trigger
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	1	1	1	1096	beaver	images_THINGS/object_images/beaver/beaver_13n.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/beaver/beaver_13n.jpg	True	False	1
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	2	1	2	1124	nightshirt	images_THINGS/object_images/nightshirt/nightshirt_11s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/nightshirt/nightshirt_11s.jpg	True	False	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	3	1	3	1006	cardinal	images_THINGS/object_images/cardinal/cardinal_02s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/cardinal/cardinal_02s.jpg	True	False	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	4	1	4	1071	mongoose	images_THINGS/object_images/mongoose/mongoose_10s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/mongoose/mongoose_10s.jpg	True	False	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	5	1	5	1077	bison	images_THINGS/object_images/bison/bison_08s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/bison/bison_08s.jpg	True	False	1
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	6	1	6	1159	pear	images_THINGS/object_images/pear/pear_09s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/pear/pear_09s.jpg	True	False	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	7	1	7	1062	antelope	images_THINGS/object_images/antelope/antelope_12n.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/antelope/antelope_12n.jpg	True	False	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	8	1	8	1145	rocking_chair	images_THINGS/object_images/rocking_chair/rocking_chair_07s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/rocking_chair/rocking_chair_07s.jpg	True	False	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	9	1	9	1015	moose	images_THINGS/object_images/moose/moose_02s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/moose/moose_02s.jpg	True	False	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	10	1	10	1092	bunkbed	images_THINGS/object_images/bunkbed/bunkbed_02s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/bunkbed/bunkbed_02s.jpg	True	False	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	11	1	11	1001	limousine	images_THINGS/object_images/limousine/limousine_03s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/limousine/limousine_03s.jpg	True	False	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	12	1	12	1160	clam	images_THINGS/object_images/clam/clam_06s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/clam/clam_06s.jpg	True	False	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	13	1	13	1020	television	images_THINGS/object_images/television/television_07s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/television/television_07s.jpg	True	False	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	14	1	14	1104	speaker	images_THINGS/object_images/speaker/speaker_19n.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/speaker/speaker_19n.jpg	True	False	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	15	1	15	1134	sleeping_bag	images_THINGS/object_images/sleeping_bag/sleeping_bag_07s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/sleeping_bag/sleeping_bag_07s.jpg	True	False	2
