subject_folder	channel	band	bandpower_uV2
P04	P8	delta_1_4	0.0625454979017
P04	P8	theta_4_8	0.00924373301677
P04	P8	alpha_8_13	0.00569632020779
P04	P8	beta_13_30	0.0103480937869
P04	P8	low_gamma_30_45	0.00258174344344
P04	T8	delta_1_4	0.00638436339796
P04	T8	theta_4_8	0.0171580925817
P04	T8	alpha_8_13	0.00487411563518
P04	T8	beta_13_30	0.0150185869425
P04	T8	low_gamma_30_45	0.0043065205391
P04	CP6	delta_1_4	0.0564901931211
P04	CP6	theta_4_8	0.00523121631704
P04	CP6	alpha_8_13	0.00369926774874
P04	CP6	beta_13_30	0.0133402404681
P04	CP6	low_gamma_30_45	0.00231073497707
P04	FC6	delta_1_4	0.149007566273
P04	FC6	theta_4_8	0.0199931939133
P04	FC6	alpha_8_13	0.00462892721407
P04	FC6	beta_13_30	0.0215302991564
P04	FC6	low_gamma_30_45	0.0052404339076
P04	F8	delta_1_4	0.294875185937
P04	F8	theta_4_8	0.0514400992543
P04	F8	alpha_8_13	0.00615972059313
P04	F8	beta_13_30	0.0365473950078
P04	F8	low_gamma_30_45	0.0067756551507
P04	F4	delta_1_4	0.320427447557
P04	F4	theta_4_8	0.022963616997
P04	F4	alpha_8_13	0.0140322966035
P04	F4	beta_13_30	0.0415020748624
P04	F4	low_gamma_30_45	0.00788542944065
P04	C4	delta_1_4	0.0509611302987
P04	C4	theta_4_8	0.00574023136869
P04	C4	alpha_8_13	0.0053714455571
P04	C4	beta_13_30	0.0166492713324
P04	C4	low_gamma_30_45	0.000990766995528
P04	P4	delta_1_4	0.259827414528
P04	P4	theta_4_8	0.00625506986398
P04	P4	alpha_8_13	0.0176942480757
P04	P4	beta_13_30	0.0144516724104
P04	P4	low_gamma_30_45	0.00637949517841
P04	AF4	delta_1_4	0.594496004283
P04	AF4	theta_4_8	0.0326650999486
P04	AF4	alpha_8_13	0.0128791911993
P04	AF4	beta_13_30	0.0406735203287
P04	AF4	low_gamma_30_45	0.00824695339543
P04	Fp2	delta_1_4	0.718675836921
P04	Fp2	theta_4_8	0.0241827685386
P04	Fp2	alpha_8_13	0.0251042838208
P04	Fp2	beta_13_30	0.149715139181
P04	Fp2	low_gamma_30_45	0.0306417148095
P04	Fp1	delta_1_4	0.560240074992
P04	Fp1	theta_4_8	0.0286285341717
P04	Fp1	alpha_8_13	0.039249693742
P04	Fp1	beta_13_30	0.0541931991902
P04	Fp1	low_gamma_30_45	0.0159681084333
P04	AF3	delta_1_4	0.503599308431
P04	AF3	theta_4_8	0.0258947773837
P04	AF3	alpha_8_13	0.0234834337607
P04	AF3	beta_13_30	0.053690951172
P04	AF3	low_gamma_30_45	0.011641646568
P04	FC2	delta_1_4	0.116192584857
P04	FC2	theta_4_8	0.0157489421545
P04	FC2	alpha_8_13	0.00437373557361
P04	FC2	beta_13_30	0.0142027745605
