row	subject_folder	trigger	category	is_repeat	epoch_valid	artifact_status	usable_after_rejection	peak_abs_uv	rms_uv	mean_uv	std_uv
0	P04	1096	beaver	False	True	pass	True	28.764587	6.590806	0.000003	6.590806
1	P04	1124	nightshirt	False	True	pass	True	36.617985	7.206796	0.000004	7.206796
2	P04	1006	cardinal	False	True	pass	True	50.817715	11.466905	-0.000000	11.466905
3	P04	1071	mongoose	False	True	pass	True	15.483249	2.847466	-0.000001	2.847466
4	P04	1077	bison	False	True	pass	True	31.169241	7.792957	0.000000	7.792957
5	P04	1159	pear	False	True	review	False	269.932465	41.680496	-0.000002	41.680496
6	P04	1062	antelope	False	True	pass	True	39.572697	10.481272	0.000004	10.481272
7	P04	1145	rocking_chair	False	True	pass	True	242.678101	22.392950	-0.000001	22.392950
8	P04	1015	moose	False	True	pass	True	38.235786	9.146388	0.000001	9.146388
9	P04	1092	bunkbed	False	True	pass	True	25.593081	5.110958	-0.000003	5.110958
10	P04	1001	limousine	False	True	pass	True	46.885094	12.005691	-0.000002	12.005691
11	P04	1160	clam	False	True	review	False	257.353577	23.256439	-0.000003	23.256439
12	P04	1020	television	False	True	pass	True	44.621235	11.648336	0.000000	11.648336
13	P04	1104	speaker	False	True	pass	True	25.380703	7.620741	0.000001	7.620741
14	P04	1134	sleeping_bag	False	True	pass	True	74.736214	13.323302	-0.000001	13.323302
15	P04	1147	lemonade	False	True	pass	True	57.212852	11.952569	-0.000005	11.952569
16	P04	1121	sunglasses	False	True	pass	True	241.533798	20.832655	0.000003	20.832655
17	P04	1035	lizard	False	True	pass	True	133.611252	12.760961	0.000005	12.760960
18	P04	1052	wallpaper	False	True	pass	True	36.113758	8.874734	-0.000005	8.874734
19	P04	1132	polar_bear	False	True	pass	True	19.294693	4.356102	0.000003	4.356102
20	P04	1071	mongoose	True	True	pass	True	61.277447	13.385424	-0.000001	13.385422
21	P04	1150	chick	False	True	pass	True	25.925009	7.617639	0.000001	7.617639
22	P04	1134	sleeping_bag	True	True	pass	True	41.059998	9.742235	0.000013	9.742235
23	P04	1053	reindeer	False	True	pass	True	42.931583	12.085399	-0.000001	12.085400
24	P04	1060	squirrel	False	True	pass	True	23.044584	4.725917	-0.000004	4.725917
25	P04	1001	limousine	True	True	review	False	254.358582	25.731607	0.000001	25.731607
26	P04	1115	marshmallow	False	True	pass	True	28.134253	6.056480	-0.000008	6.056480
27	P04	1159	pear	True	True	pass	True	230.483414	22.320095	0.000000	22.320095
