subject_folder	channel	freq_hz	psd_uV2_per_Hz
P04	P8	1.000000	0.0946462973952
P04	P8	2.000000	0.0149930203333
P04	P8	3.000000	0.000458658847492
P04	P8	4.000000	0.00800961535424
P04	P8	5.000000	0.00238014408387
P04	P8	6.000000	0.00117649615277
P04	P8	7.000000	0.00336457043886
P04	P8	8.000000	0.000258799875155
P04	P8	9.000000	0.00119165773503
P04	P8	10.000000	0.00194252643269
P04	P8	11.000000	0.00131903181318
P04	P8	12.000000	0.00222740857862
P04	P8	13.000000	0.00157029670663
P04	P8	14.000000	0.000544076494407
P04	P8	15.000000	0.00116856873501
P04	P8	16.000000	0.000833804253489
P04	P8	17.000000	0.00058903824538
P04	P8	18.000000	0.00169332837686
P04	P8	19.000000	0.000752831459977
P04	P8	20.000000	0.000405591214076
P04	P8	21.000000	0.00115819519851
P04	P8	22.000000	0.00104587862734
P04	P8	23.000000	2.20663023356e-05
P04	P8	24.000000	5.13108061568e-05
P04	P8	25.000000	0.000300537154544
P04	P8	26.000000	0.000227321579587
P04	P8	27.000000	0.000386184110539
P04	P8	28.000000	0.000360194215318
P04	P8	29.000000	4.80375347252e-05
P04	P8	30.000000	0.000199603906367
P04	P8	31.000000	0.000292633107165
P04	P8	32.000000	5.97477173869e-06
P04	P8	33.000000	0.000124005149701
P04	P8	34.000000	5.31282530574e-05
P04	P8	35.000000	0.000191038008779
P04	P8	36.000000	9.42450278671e-05
P04	P8	37.000000	0.000338333862601
P04	P8	38.000000	0.000469735212391
P04	P8	39.000000	4.00737517339e-05
P04	P8	40.000000	8.07588003227e-05
P04	P8	41.000000	0.000130862434162
P04	P8	42.000000	0.000184261574759
P04	P8	43.000000	0.000293944845907
P04	P8	44.000000	0.000365893385606
P04	P8	45.000000	0.000590178417042
P04	P8	46.000000	0.000157121365191
P04	P8	47.000000	2.41321758949e-05
P04	P8	48.000000	9.00417508092e-05
P04	P8	49.000000	0.000203213145141
P04	P8	50.000000	0.00011324256775
P04	P8	51.000000	7.80439804657e-05
P04	P8	52.000000	0.00020363528165
P04	P8	53.000000	0.000102830133983
P04	P8	54.000000	3.2335279684e-05
P04	P8	55.000000	2.65624858002e-05
P04	P8	56.000000	9.80755430646e-05
P04	P8	57.000000	8.64877802087e-05
P04	P8	58.000000	1.34854017233e-05
P04	P8	59.000000	1.07301484604e-05
P04	P8	60.000000	2.47902789852e-05
P04	P8	61.000000	0.00017702873447
P04	P8	62.000000	0.000249461561907
P04	P8	63.000000	0.000152930908371
P04	P8	64.000000	5.39509665032e-06
P04	P8	65.000000	0.000154680921696
P04	P8	66.000000	3.29772119585e-05
P04	P8	67.000000	8.20923673928e-07
P04	P8	68.000000	2.08473211387e-05
P04	P8	69.000000	0.000162523399922
P04	P8	70.000000	6.35751712252e-05
P04	P8	71.000000	3.19903165291e-06
P04	P8	72.000000	1.18313910207e-05
P04	P8	73.000000	6.73295517117e-06
P04	P8	74.000000	9.85496740213e-07
P04	P8	75.000000	6.90141769155e-06
P04	P8	76.000000	4.45234545623e-05
P04	P8	77.000000	3.02706248476e-05
P04	P8	78.000000	9.82467645372e-06
P04	P8	79.000000	1.15789680422e-05
P04	P8	80.000000	6.95280732543e-06
P04	T8	1.000000	0.00438668625429
P04	T8	2.000000	0.00134344655089
P04	T8	3.000000	0.0056951479055
P04	T8	4.000000	0.00989456288517
P04	T8	5.000000	0.0106242941692
P04	T8	6.000000	0.00141864665784
P04	T8	7.000000	0.0003357398964
P04	T8	8.000000	0.000906514294911
P04	T8	9.000000	0.000417197414208
P04	T8	10.000000	0.00133504939731
P04	T8	11.000000	0.00097454932984
P04	T8	12.000000	0.0033881245181
P04	T8	13.000000	0.000381200370612
P04	T8	14.000000	0.00125891400967
P04	T8	15.000000	0.00130609516054
P04	T8	16.000000	0.00137892772909
P04	T8	17.000000	0.000683992577251
P04	T8	18.000000	0.00068878318416
P04	T8	19.000000	0.00035933277104
P04	T8	20.000000	0.000222420931095
P04	T8	21.000000	0.000758801703341
P04	T8	22.000000	7.80890914029e-05
P04	T8	23.000000	0.00068169797305
P04	T8	24.000000	0.0014340467751
P04	T8	25.000000	0.00266501493752
P04	T8	26.000000	0.00203579012305
P04	T8	27.000000	0.000919075449929
P04	T8	28.000000	0.000269131385721
P04	T8	29.000000	0.000175746172317
P04	T8	30.000000	0.000639795383904
P04	T8	31.000000	0.000525001669303
P04	T8	32.000000	0.000175700566615
P04	T8	33.000000	0.000424160185503
P04	T8	34.000000	0.000491377140861
P04	T8	35.000000	0.000181443945621
P04	T8	36.000000	0.000122745273984
P04	T8	37.000000	0.000399966345867
P04	T8	38.000000	1.31057831823e-05
P04	T8	39.000000	0.000182587406016
P04	T8	40.000000	0.000454261869891
P04	T8	41.000000	0.000147787141032
P04	T8	42.000000	0.000481582566863
P04	T8	43.000000	0.000370673806174
P04	T8	44.000000	3.24583852489e-05
P04	T8	45.000000	3.86251522286e-05
P04	T8	46.000000	0.000250289594987
P04	T8	47.000000	0.000168552942341
P04	T8	48.000000	5.92617980146e-05
P04	T8	49.000000	9.68593813013e-05
P04	T8	50.000000	0.000149255269207
P04	T8	51.000000	5.02243201481e-05
P04	T8	52.000000	4.34360263171e-05
P04	T8	53.000000	6.68098291499e-05
P04	T8	54.000000	0.000161518953973
P04	T8	55.000000	1.11913846013e-06
P04	T8	56.000000	0.000297403195873
P04	T8	57.000000	0.000188855279703
P04	T8	58.000000	6.07640577073e-05
P04	T8	59.000000	3.95591705455e-05
P04	T8	60.000000	0.000117961099022
P04	T8	61.000000	0.000223175462452
P04	T8	62.000000	0.00012696464546
P04	T8	63.000000	2.13619000533e-06
P04	T8	64.000000	0.000108081869257
P04	T8	65.000000	8.25316674309e-05
P04	T8	66.000000	3.18239690387e-05
P04	T8	67.000000	0.000186419376405
P04	T8	68.000000	0.000251806079177
P04	T8	69.000000	6.43587918603e-06
P04	T8	70.000000	0.000351679773303
P04	T8	71.000000	0.000429679465014
P04	T8	72.000000	0.000122564131743
P04	T8	73.000000	8.47017217893e-05
P04	T8	74.000000	3.46416823049e-06
P04	T8	75.000000	0.000122836849187
P04	T8	76.000000	0.00013910412963
P04	T8	77.000000	7.8445273175e-06
P04	T8	78.000000	2.33164901147e-05
P04	T8	79.000000	6.19633574388e-05
P04	T8	80.000000	3.34166143148e-05
P04	CP6	1.000000	0.0864811092615
P04	CP6	2.000000	0.0127780754119
P04	CP6	3.000000	0.000943127612118
P04	CP6	4.000000	0.00454791868106
P04	CP6	5.000000	0.000459980365122
P04	CP6	6.000000	0.00164044299163
P04	CP6	7.000000	0.00171366729774
P04	CP6	8.000000	0.00015550525859
P04	CP6	9.000000	0.000907387176994
P04	CP6	10.000000	0.00100238819141
P04	CP6	11.000000	0.000809506629594
P04	CP6	12.000000	0.00180446635932
P04	CP6	13.000000	0.000903462583665
P04	CP6	14.000000	0.000349401874701
P04	CP6	15.000000	0.000787850585766
P04	CP6	16.000000	0.000910053204279
P04	CP6	17.000000	0.00130523426924
P04	CP6	18.000000	0.00336488243192
P04	CP6	19.000000	0.00067644927185
P04	CP6	20.000000	0.000143435798236
P04	CP6	21.000000	0.00149009656161
P04	CP6	22.000000	0.00204051518813
P04	CP6	23.000000	0.000180357106728
P04	CP6	24.000000	2.61855766439e-05
P04	CP6	25.000000	0.000427722872701
P04	CP6	26.000000	0.000368882814655
P04	CP6	27.000000	0.000125011531054
P04	CP6	28.000000	0.000375407311367
P04	CP6	29.000000	0.000634045631159
P04	CP6	30.000000	0.000122573619592
P04	CP6	31.000000	5.37902924407e-05
P04	CP6	32.000000	6.25245011179e-05
