subject_folder	trigger	category	n_total	n_usable	repeat_corr_flat_31x250	status
P04	1001	limousine	2	1		insufficient_after_rejection
P04	1002	pea	1	1		insufficient_after_rejection
P04	1003	shorts	1	1		insufficient_after_rejection
P04	1004	dalmatian	1	1		insufficient_after_rejection
P04	1005	ottoman	1	1		insufficient_after_rejection
P04	1006	cardinal	2	2	0.605696	pass
P04	1007	mirror	1	1		insufficient_after_rejection
P04	1008	keyboard	1	1		insufficient_after_rejection
P04	1009	papaya	1	1		insufficient_after_rejection
P04	1010	pineapple	1	1		insufficient_after_rejection
P04	1011	raspberry	1	1		insufficient_after_rejection
P04	1012	burrito	2	2	-0.360017	pass
P04	1013	banana	1	1		insufficient_after_rejection
P04	1014	shark	1	1		insufficient_after_rejection
P04	1015	moose	2	2	0.570631	pass
P04	1016	ant	1	1		insufficient_after_rejection
P04	1017	carrot	1	1		insufficient_after_rejection
P04	1018	coffee	1	1		insufficient_after_rejection
P04	1019	videocassette	1	1		insufficient_after_rejection
P04	1020	television	2	2	-0.201102	pass
P04	1021	tea	1	1		insufficient_after_rejection
P04	1022	shoe	1	1		insufficient_after_rejection
P04	1023	wolf	2	2	0.266152	pass
P04	1024	lab_coat	1	1		insufficient_after_rejection
P04	1025	llama	1	1		insufficient_after_rejection
P04	1026	asparagus	1	1		insufficient_after_rejection
P04	1027	memory_stick	2	2	0.609312	pass
P04	1028	meatball	1	1		insufficient_after_rejection
P04	1029	sheep	1	1		insufficient_after_rejection
P04	1030	puffin	1	1		insufficient_after_rejection
P04	1031	fish	1	1		insufficient_after_rejection
P04	1032	pants	1	1		insufficient_after_rejection
P04	1033	helmet	1	1		insufficient_after_rejection
P04	1034	bracelet1	1	1		insufficient_after_rejection
P04	1035	lizard	1	1		insufficient_after_rejection
P04	1036	ladybug	1	1		insufficient_after_rejection
P04	1037	steamroller	1	1		insufficient_after_rejection
P04	1038	cupcake	1	1		insufficient_after_rejection
P04	1039	sailboat	1	1		insufficient_after_rejection
P04	1040	panda	1	1		insufficient_after_rejection
P04	1041	octopus	1	1		insufficient_after_rejection
P04	1042	eagle	1	1		insufficient_after_rejection
P04	1043	ostrich	1	1		insufficient_after_rejection
P04	1044	raccoon	1	1		insufficient_after_rejection
P04	1045	goose	2	2	0.716082	pass
P04	1046	tiramisu	2	2	0.646044	pass
P04	1047	drawer	1	1		insufficient_after_rejection
P04	1048	sombrero	1	1		insufficient_after_rejection
P04	1049	rat	1	1		insufficient_after_rejection
P04	1050	artichoke	1	1		insufficient_after_rejection
P04	1051	yacht	2	2	-0.234775	pass
P04	1052	wallpaper	2	2	0.085663	pass
