subject_folder	trial_index	trigger	eeg_inter_event_gap_samples_to_next	eeg_inter_event_gap_s_to_next
P04	1	1096	3107	6.214000
P04	2	1124	2959	5.918000
P04	3	1006	2947	5.895000
P04	4	1071	3004	6.008000
P04	5	1077	2899	5.798000
P04	6	1159	3093	6.187000
P04	7	1062	2893	5.786000
P04	8	1145	2878	5.756000
P04	9	1015	2944	5.889000
P04	10	1092	3024	6.048000
P04	11	1001	2872	5.744000
P04	12	1160	2972	5.945000
P04	13	1020	3073	6.146000
P04	14	1104	3062	6.124000
P04	15	1134	2913	5.826000
P04	16	1147	3062	6.125000
P04	17	1121	3014	6.028000
P04	18	1035	2906	5.813000
P04	19	1052	2983	5.966000
P04	20	1132	4017	8.034000
P04	21	1071	10680	21.361000
P04	22	1150	2842	5.685000
P04	23	1134	3210	6.420000
P04	24	1053	3107	6.214000
P04	25	1060	2925	5.851000
P04	26	1001	3148	6.296000
P04	27	1115	2842	5.684000
P04	28	1159	3234	6.469000
P04	29	1012	3048	6.096000
P04	30	1036	2948	5.896000
P04	31	1045	2917	5.835000
P04	32	1095	2944	5.888000
P04	33	1144	2871	5.742000
P04	34	1057	3063	6.127000
P04	35	1112	3097	6.194000
P04	36	1108	2890	5.780000
P04	37	1160	3102	6.205000
P04	38	1031	2969	5.938000
P04	39	1016	2969	5.938000
P04	40	1118	11065	22.132000
P04	41	1050	2948	5.896000
P04	42	1157	3017	6.034000
P04	43	1098	2983	5.967000
P04	44	1073	2699	5.398000
P04	45	1020	3297	6.594000
P04	46	1151	3062	6.125000
P04	47	1119	3094	6.188000
P04	48	1011	3083	6.166000
P04	49	1137	2716	5.433000
P04	50	1104	3221	6.442000
P04	51	1110	2821	5.642000
P04	52	1144	2686	5.373000
P04	53	1006	3232	6.464000
P04	54	1097	2958	5.917000
P04	55	1090	3073	6.146000
P04	56	1101	2771	5.542000
P04	57	1132	3174	6.348000
P04	58	1047	2892	5.784000
P04	59	1026	3022	6.044000
P04	60	1046	3982	7.964000
P04	61	1110	9940	19.880000
P04	62	1149	3105	6.210000
P04	63	1023	2878	5.757000
P04	64	1125	2913	5.826000
P04	65	1037	3069	6.138000
P04	66	1120	2753	5.506000
P04	67	1015	3266	6.532000
P04	68	1121	3020	6.040000
P04	69	1049	2892	5.784000
P04	70	1032	3024	6.048000
P04	71	1063	2864	5.728000
P04	72	1118	2936	5.872000
P04	73	1092	3086	6.172000
P04	74	1038	3069	6.138000
P04	75	1061	2989	5.978000
P04	76	1130	2914	5.828000
P04	77	1143	3090	6.180000
P04	78	1123	3042	6.084000
P04	79	1013	2872	5.744000
P04	80	1139	10846	21.693000
P04	81	1079	3002	6.005000
P04	82	1082	3002	6.004000
P04	83	1131	2984	5.968000
P04	84	1143	3036	6.073000
P04	85	1109	2676	5.352000
P04	86	1046	3312	6.624000
P04	87	1133	2915	5.830000
P04	88	1002	2992	5.985000
P04	89	1135	3043	6.086000
P04	90	1125	2614	5.228000
P04	91	1124	3196	6.393000
P04	92	1140	2893	5.786000
P04	93	1059	3111	6.222000
P04	94	1040	2958	5.917000
P04	95	1061	3046	6.092000
P04	96	1107	3024	6.048000
P04	97	1086	3017	6.035000
P04	98	1010	2965	5.930000
P04	99	1127	2851	5.702000
P04	100	1155	13157	26.316000
P04	101	1152	3019	6.038000
P04	102	1008	3059	6.118000
P04	103	1042	3178	6.356000
P04	104	1028	2786	5.573000
P04	105	1062	3218	6.436000
P04	106	1085	3002	6.004000
P04	107	1074	3061	6.123000
P04	108	1103	3193	6.386000
P04	109	1017	2839	5.678000
P04	110	1126	2940	5.881000
P04	111	1106	3004	6.008000
P04	112	1068	2975	5.950000
P04	113	1100	3002	6.005000
P04	114	1084	2896	5.792000
P04	115	1120	3108	6.216000
P04	116	1129	2800	5.600000
P04	117	1053	3204	6.409000
P04	118	1039	3002	6.004000
P04	119	1111	2804	5.608000
P04	120	1012	14044	28.090000
P04	121	1067	2892	5.784000
P04	122	1084	2932	5.864000
P04	123	1082	3123	6.247000
P04	124	1051	2971	5.942000
P04	125	1091	3002	6.004000
P04	126	1081	3002	6.005000
P04	127	1154	3252	6.504000
P04	128	1087	3002	6.004000
P04	129	1065	3002	6.005000
P04	130	1114	2855	5.710000
P04	131	1138	3011	6.022000
P04	132	1113	3140	6.281000
P04	133	1021	2598	5.196000
P04	134	1023	3406	6.812000
P04	135	1093	3002	6.005000
P04	136	1146	2770	5.540000
P04	137	1045	2984	5.968000
P04	138	1156	3002	6.004000
P04	139	1058	2857	5.715000
P04	140	1055	11651	23.303000
P04	141	1056	2779	5.558000
P04	142	1054	3225	6.451000
P04	143	1034	3002	6.004000
P04	144	1003	3252	6.504000
P04	145	1078	3002	6.004000
P04	146	1105	2682	5.365000
P04	147	1129	3072	6.144000
P04	148	1088	3002	6.004000
P04	149	1102	3252	6.505000
P04	150	1033	3002	6.004000
P04	151	1141	2834	5.668000
P04	152	1130	2884	5.769000
P04	153	1150	2968	5.936000
P04	154	1145	3322	6.644000
P04	155	1094	3252	6.505000
P04	156	1153	2752	5.504000
P04	157	1027	3252	6.504000
P04	158	1014	3002	6.005000
P04	159	1025	3002	6.004000
P04	160	1148	3684	7.368000
P04	161	1147	10574	21.149000
P04	162	1083	3002	6.005000
P04	163	1041	3002	6.004000
P04	164	1018	3002	6.004000
P04	165	1136	2752	5.505000
P04	166	1044	2978	5.956000
P04	167	1027	3026	6.052000
P04	168	1128	3002	6.004000
P04	169	1043	3002	6.005000
P04	170	1099	3002	6.004000
P04	171	1117	2752	5.504000
