setting,train_level,eval_level,alpha,x_dim,train_n,val_n,train_all160_top1,train_all160_top5,train_split_top1,train_split_top5,val_all160_top1,val_all160_top5,val_split_top1,val_split_top5,val_split_median_rank,val_all160_median_rank
baseline_allch_80_700ms_6bins__train-single_trial__eval-single_trial,single_trial,single_trial,0.1,186,915,256,0.7530054644808744,0.8786885245901639,0.7540983606557377,0.8819672131147541,0.0,0.0078125,0.02734375,0.1640625,16.0,76.0
baseline_allch_80_700ms_6bins__train-single_trial__eval-single_trial,single_trial,single_trial,1.0,186,915,256,0.7245901639344262,0.8622950819672132,0.7256830601092896,0.8622950819672132,0.0,0.01171875,0.046875,0.1796875,15.0,73.0
baseline_allch_80_700ms_6bins__train-single_trial__eval-single_trial,single_trial,single_trial,10.0,186,915,256,0.5814207650273224,0.8021857923497268,0.5825136612021858,0.8043715846994536,0.0,0.01953125,0.06640625,0.2265625,16.0,70.5
baseline_allch_80_700ms_6bins__train-single_trial__eval-single_trial,single_trial,single_trial,100.0,186,915,256,0.3901639344262295,0.6349726775956284,0.3912568306010929,0.6371584699453552,0.0,0.01171875,0.046875,0.2109375,15.0,73.0
baseline_allch_80_700ms_6bins__train-single_trial__eval-single_trial,single_trial,single_trial,1000.0,186,915,256,0.20437158469945355,0.43387978142076505,0.20546448087431693,0.4382513661202186,0.0,0.0078125,0.04296875,0.1640625,14.0,68.5
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,single_trial,image,0.1,186,915,32,0.7530054644808744,0.8786885245901639,0.7540983606557377,0.8819672131147541,0.0,0.0,0.09375,0.3125,15.5,64.5
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,single_trial,image,1.0,186,915,32,0.7245901639344262,0.8622950819672132,0.7256830601092896,0.8622950819672132,0.0,0.0,0.09375,0.21875,12.0,57.0
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,single_trial,image,10.0,186,915,32,0.5814207650273224,0.8021857923497268,0.5825136612021858,0.8043715846994536,0.0,0.0,0.0625,0.25,10.0,55.0
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,single_trial,image,100.0,186,915,32,0.3901639344262295,0.6349726775956284,0.3912568306010929,0.6371584699453552,0.0,0.03125,0.0625,0.25,13.0,67.5
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,single_trial,image,1000.0,186,915,32,0.20437158469945355,0.43387978142076505,0.20546448087431693,0.4382513661202186,0.0,0.0,0.03125,0.21875,15.5,66.5
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,subject_image,subject_image,0.1,186,757,189,0.8309114927344782,0.9233817701453104,0.8309114927344782,0.9247027741083224,0.0,0.0,0.015873015873015872,0.1693121693121693,16.0,75.0
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,subject_image,subject_image,1.0,186,757,189,0.7926023778071334,0.9062087186261559,0.7926023778071334,0.9075297225891678,0.0,0.010582010582010581,0.047619047619047616,0.20105820105820105,14.0,71.0
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,subject_image,subject_image,10.0,186,757,189,0.667107001321004,0.8480845442536328,0.6684280052840158,0.8520475561426685,0.0,0.010582010582010581,0.047619047619047616,0.2275132275132275,15.0,75.0
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,subject_image,subject_image,100.0,186,757,189,0.4438573315719947,0.6750330250990753,0.4438573315719947,0.6776750330250991,0.0,0.005291005291005291,0.06349206349206349,0.18518518518518517,16.0,76.0
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,subject_image,subject_image,1000.0,186,757,189,0.2285336856010568,0.4715984147952444,0.22985468956406868,0.47556142668428003,0.0,0.010582010582010581,0.042328042328042326,0.19576719576719576,14.0,71.0
baseline_allch_80_700ms_6bins__train-image__eval-image,image,image,0.1,186,128,32,1.0,1.0,1.0,1.0,0.0,0.03125,0.0625,0.0625,19.0,88.0
baseline_allch_80_700ms_6bins__train-image__eval-image,image,image,1.0,186,128,32,1.0,1.0,1.0,1.0,0.0,0.03125,0.03125,0.125,17.0,79.5
baseline_allch_80_700ms_6bins__train-image__eval-image,image,image,10.0,186,128,32,1.0,1.0,1.0,1.0,0.0,0.03125,0.03125,0.125,13.5,70.0
baseline_allch_80_700ms_6bins__train-image__eval-image,image,image,100.0,186,128,32,0.984375,0.9921875,0.984375,1.0,0.0,0.0,0.0,0.21875,13.5,67.0
baseline_allch_80_700ms_6bins__train-image__eval-image,image,image,1000.0,186,128,32,0.7421875,0.90625,0.7421875,0.90625,0.0,0.0,0.03125,0.21875,15.5,70.0
baseline_visualch_80_700ms_6bins__train-single_trial__eval-single_trial,single_trial,single_trial,0.1,48,915,256,0.24699453551912567,0.4360655737704918,0.24699453551912567,0.4371584699453552,0.0,0.00390625,0.0234375,0.1640625,17.0,77.5
baseline_visualch_80_700ms_6bins__train-single_trial__eval-single_trial,single_trial,single_trial,1.0,48,915,256,0.22513661202185792,0.4098360655737705,0.2262295081967213,0.41530054644808745,0.0,0.00390625,0.0234375,0.16015625,17.0,78.0
baseline_visualch_80_700ms_6bins__train-single_trial__eval-single_trial,single_trial,single_trial,10.0,48,915,256,0.16393442622950818,0.3344262295081967,0.1650273224043716,0.34207650273224044,0.0,0.00390625,0.015625,0.1328125,16.0,79.0
baseline_visualch_80_700ms_6bins__train-single_trial__eval-single_trial,single_trial,single_trial,100.0,48,915,256,0.10273224043715846,0.24918032786885247,0.10382513661202186,0.25245901639344265,0.0,0.0,0.0234375,0.140625,16.0,81.0
baseline_visualch_80_700ms_6bins__train-single_trial__eval-single_trial,single_trial,single_trial,1000.0,48,915,256,0.05901639344262295,0.16393442622950818,0.060109289617486336,0.17486338797814208,0.0,0.00390625,0.0234375,0.1484375,18.0,84.5
baseline_visualch_80_700ms_6bins__train-single_trial__eval-image,single_trial,image,0.1,48,915,32,0.24699453551912567,0.4360655737704918,0.24699453551912567,0.4371584699453552,0.0,0.03125,0.09375,0.1875,14.5,73.5
baseline_visualch_80_700ms_6bins__train-single_trial__eval-image,single_trial,image,1.0,48,915,32,0.22513661202185792,0.4098360655737705,0.2262295081967213,0.41530054644808745,0.0,0.03125,0.09375,0.1875,14.5,73.5
baseline_visualch_80_700ms_6bins__train-single_trial__eval-image,single_trial,image,10.0,48,915,32,0.16393442622950818,0.3344262295081967,0.1650273224043716,0.34207650273224044,0.0,0.03125,0.09375,0.1875,17.0,79.0
baseline_visualch_80_700ms_6bins__train-single_trial__eval-image,single_trial,image,100.0,48,915,32,0.10273224043715846,0.24918032786885247,0.10382513661202186,0.25245901639344265,0.0,0.03125,0.0625,0.25,17.0,82.5
baseline_visualch_80_700ms_6bins__train-single_trial__eval-image,single_trial,image,1000.0,48,915,32,0.05901639344262295,0.16393442622950818,0.060109289617486336,0.17486338797814208,0.0,0.0,0.0625,0.15625,20.0,102.0
baseline_visualch_80_700ms_6bins__train-subject_image__eval-subject_image,subject_image,subject_image,0.1,48,757,189,0.2747688243064729,0.47291941875825627,0.2747688243064729,0.47556142668428003,0.0,0.005291005291005291,0.021164021164021163,0.15343915343915343,17.0,76.0
baseline_visualch_80_700ms_6bins__train-subject_image__eval-subject_image,subject_image,subject_image,1.0,48,757,189,0.2536327608982827,0.42932628797886396,0.25495376486129456,0.4346103038309115,0.0,0.015873015873015872,0.042328042328042326,0.15343915343915343,16.0,77.0
baseline_visualch_80_700ms_6bins__train-subject_image__eval-subject_image,subject_image,subject_image,10.0,48,757,189,0.17569352708058125,0.3527080581241744,0.17569352708058125,0.3579920739762219,0.0,0.015873015873015872,0.037037037037037035,0.164021164021164,17.0,79.0
baseline_visualch_80_700ms_6bins__train-subject_image__eval-subject_image,subject_image,subject_image,100.0,48,757,189,0.10303830911492734,0.2536327608982827,0.10435931307793923,0.2562747688243065,0.0,0.0,0.031746031746031744,0.15343915343915343,17.0,81.0
baseline_visualch_80_700ms_6bins__train-subject_image__eval-subject_image,subject_image,subject_image,1000.0,48,757,189,0.06472919418758256,0.17305151915455746,0.06472919418758256,0.17965653896961692,0.0,0.005291005291005291,0.037037037037037035,0.14285714285714285,17.0,84.0
