setting,split,group,target_index,n_trials
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,0,0,11
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,2,2,6
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,11,11,12
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,17,17,6
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,18,18,6
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,19,19,12
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,30,30,6
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,38,38,6
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,42,42,6
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,52,52,12
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,61,61,12
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,66,66,6
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,67,67,6
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,72,72,6
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,76,76,6
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,85,85,6
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,89,89,6
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,94,94,6
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,96,96,5
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,104,104,6
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,120,120,12
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,122,122,6
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,123,123,12
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,131,131,12
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,133,133,12
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,136,136,5
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,140,140,6
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,142,142,10
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,143,143,10
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,151,151,5
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,155,155,6
baseline_allch_80_700ms_6bins__train-single_trial__eval-image,val,156,156,12
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|1,1,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|3,3,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|4,4,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|5,5,2
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|6,6,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|7,7,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|8,8,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|9,9,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|10,10,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|12,12,1
baseline_allch_80_700ms_6bins__train-subject_image__eval-subject_image,train,P04|13,13,1
